pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,target
0,0,0,0,0,41,9,0,0,0,0,0,0,0,60,165,9,0,0,0,0,0,0,7,181,68,0,0,0,0,0,0,0,85,166,0,0,0,0,0,0,0,1,163,83,17,163,74,0,0,0,0,7,204,59,160,217,137,0,0,0,0,1,137,219,247,193,39,0,0,0,0,0,10,121,193,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,134,41,0,0,0,0,0,0,7,132,102,150,16,0,0,0,0,0,2,10,0,95,60,0,0,0,0,0,0,0,0,109,41,0,0,0,0,0,13,79,141,158,5,0,0,0,0,10,156,165,202,123,18,0,0,0,0,42,178,149,50,0,0,0,0,0,0,16,115,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,1,61,125,146,104,24,0,0,0,0,7,117,88,75,118,182,67,0,0,0,0,0,0,7,31,181,118,0,0,0,0,14,167,220,237,106,0,0,0,0,0,0,31,74,153,196,51,0,0,0,0,18,23,0,0,62,185,15,0,0,0,82,199,101,95,144,176,9,0,0,0,8,64,117,125,96,27,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,6,0,0,0,0,0,3,98,101,106,127,146,69,0,0,0,0,0,0,0,0,139,134,0,0,0,0,0,0,25,67,196,158,90,15,0,0,0,0,32,64,197,84,23,3,0,0,0,0,0,0,196,54,0,0,0,0,0,0,0,3,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,117,157,100,8,0,0,0,0,42,188,145,137,194,132,0,0,0,0,15,26,0,0,72,166,0,0,0,0,0,0,2,8,124,141,0,0,0,0,0,0,29,190,250,146,79,68,3,0,0,0,4,47,95,118,136,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,54,53,0,0,0,0,0,0,0,0,142,233,92,0,0,0,0,0,0,0,14,61,198,25,0,0,0,0,0,0,0,0,157,78,0,0,0,0,0,0,0,0,140,90,0,0,0,2,95,185,173,154,230,42,0,0,0,11,218,202,235,255,193,173,37,0,0,0,116,198,154,68,2,84,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,1,50,53,19,0,0,0,0,0,0,10,184,223,218,189,47,0,0,0,0,0,6,72,240,246,57,0,0,0,0,0,31,229,140,35,0,0,0,0,0,0,26,205,197,79,1,0,0,0,0,0,0,8,138,255,87,0,0,0,0,33,116,177,221,201,48,0,0,0,0,81,186,132,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,4,0,0,0,0,9,129,8,24,216,41,0,0,0,0,90,177,2,8,203,45,0,0,0,0,166,106,0,9,209,43,0,0,0,1,147,191,103,147,242,35,0,0,0,0,8,101,174,204,218,15,0,0,0,0,0,0,0,44,209,16,0,0,0,0,0,0,0,10,154,24,0,0,0,0,0,0,0,0,3,1,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,17,18,18,7,0,0,0,1,173,234,207,209,221,102,0,0,0,32,227,91,45,47,174,125,0,0,0,18,66,0,0,0,199,111,0,0,0,0,0,0,0,60,224,32,0,0,0,0,0,0,0,151,137,0,0,0,0,0,0,0,14,214,59,0,0,0,0,0,0,0,61,199,12,0,0,0,7
0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,43,155,37,0,0,0,0,0,0,47,164,44,0,0,0,0,0,0,9,166,45,0,0,0,0,0,0,0,102,205,152,87,0,0,0,0,0,0,121,80,31,162,9,0,0,0,0,0,130,53,15,146,5,0,0,0,0,0,73,158,151,64,0,0,0,0,0,0,0,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
